"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Bicep chin curl",,"",0,"normal",,8,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Bicep chin curl",,"",1,"normal",,8,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Ring triceps dip",,"",0,"normal",,12,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Ring triceps dip",,"",1,"normal",,12,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Bodyweight bicep curl",,"",0,"normal",,6,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Bodyweight bicep curl",,"",1,"dropset",,8,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","BW triceps extension ",,"",0,"normal",,8,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","BW triceps extension ",,"",1,"normal",,10,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","BW triceps extension ",,"",2,"normal",,8,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Pelican curl",,"",0,"normal",,7,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Pelican curl",,"",1,"normal",,7,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Triceps Kickback (Dumbbell)",,"",0,"normal",10,10,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Ring cross body lateral raise",,"2nd tile",0,"normal",,13,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Elevated Deep pike pushups",,"Rings",0,"normal",,12,,,
"Morning workout ☀️","May 6, 2026, 9:40 AM","May 6, 2026, 11:03 AM","","Handstand Push Up",,"1.5 tile in baranda",0,"normal",,9,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Ring Dips",,"RTO first 3 sets",0,"normal",,9,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Ring Dips",,"RTO first 3 sets",1,"normal",,9,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Ring Dips",,"RTO first 3 sets",2,"normal",,8,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Ring Dips",,"RTO first 3 sets",3,"normal",,8,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","L Sit Pullup",,"Dropset tuck l",0,"normal",,6,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","L Sit Pullup",,"Dropset tuck l",1,"dropset",,1,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","L Sit Pullup",,"Dropset tuck l",2,"normal",,6,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","L Sit Pullup",,"Dropset tuck l",3,"dropset",,1,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Pull Up (Weighted)",,"Backpack
9.5 first set",0,"normal",10,9,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Pull Up (Weighted)",,"Backpack
9.5 first set",1,"normal",10,8,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Pull Up (Weighted)",,"Backpack
9.5 first set",2,"dropset",,1,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Pull Up (Weighted)",,"Backpack
9.5 first set",3,"normal",,12,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Ring Push Up",,"Feet on chair, rings at lowest position, bring together at top, apart at bottom",0,"normal",,10,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Inverted Row",,"Feet on chair
Top of ring at navel",0,"normal",,13,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","Inverted Row",,"Feet on chair
Top of ring at navel",1,"normal",,15,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","ring fly",,"",0,"normal",,7,,,
"Morning workout ☀️","May 3, 2026, 8:07 AM","May 3, 2026, 9:20 AM","","ring fly",,"",1,"normal",,7,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Preacher Curl (Barbell)",,"",0,"normal",110,8,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Preacher Curl (Barbell)",,"",1,"normal",100,12,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Single arm triceps pushdown",,"Both arms together first set",0,"normal",65,11,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Single arm triceps pushdown",,"Both arms together first set",1,"normal",55,15,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Lateral Raise (Cable)",,"Behind the back, both arms together first set, counting claw thing as 2.5",0,"normal",50,13,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Lateral Raise (Cable)",,"Behind the back, both arms together first set, counting claw thing as 2.5",1,"normal",50,12,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Seated Incline Curl (Dumbbell)",,"",0,"normal",45,10,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Seated Incline Curl (Dumbbell)",,"",1,"normal",40,12,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Triceps Extension (Barbell)",,"",0,"normal",80,12,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Triceps Extension (Barbell)",,"",1,"normal",80,12,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Overhead Press (Barbell)",,"Almost 15 first set",0,"normal",120,14,,,
"Late night workout 🌙","Apr 30, 2026, 6:33 AM","Apr 30, 2026, 8:43 AM","","Overhead Press (Smith Machine)",,"",0,"normal",90,18,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Bench Press (Smith Machine)",,"Almost 9 first set",0,"normal",230,8,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Bench Press (Smith Machine)",,"Almost 9 first set",1,"normal",230,7,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Incline Bench Press (Smith Machine)",,"Low incline",0,"normal",190,7,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Incline Bench Press (Smith Machine)",,"Low incline",1,"normal",180,10,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Pull Up (Weighted)",,"Neutral",0,"normal",31.75,7,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Pull Up (Weighted)",,"Neutral",1,"normal",22.68,9,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","Wide Pull Up",,"Dropset 1 chinup",0,"normal",,10,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","T Bar Row",,"",0,"normal",135,7,,,
"Late night workout 🌙","Apr 28, 2026, 6:54 AM","Apr 28, 2026, 7:53 AM","","T Bar Row",,"",1,"normal",135,6,,,
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Preacher hammer curl",,"",0,"normal",45,11,,,
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Reverse Preacher Curl (EZ Bar)",,"",0,"normal",70,13,,,
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Bulgarian Split Squat",,"",0,"normal",80,10,,,
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Bulgarian Split Squat",,"",1,"normal",80,9,,,
